Player,Club,Clearances,Clearances,Centre clr,Centre clr,Stoppages,Stoppages,Rebound50,Rebound50,Frees For,Frees For,Frees Agst,Frees Agst,Tackles,Tackles,One %s,One %s,Bounces,Bounces,Inside50,Inside50,Goals,Goals
,,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG,TOT,AVG
169 Sophie Casey,COLL,3,0.6,1,0.2,2,0.4,0,0,2,0.4,9,1.8,13,2.6,1,0.2,0,0,3,0.6,1,0.2
170 Courtney Clarkson,WB,4,0.7,0,0,4,0.7,2,0.3,1,0.2,3,0.5,10,1.7,3,0.5,0,0,4,0.7,1,0.2
170 Rebecca Neaves,WB,2,0.4,0,0,2,0.4,1,0.2,1,0.2,1,0.2,6,1.2,1,0.2,0,0,2,0.4,0,0
170 Meg Downie,MELB,3,1.5,0,0,3,1.5,3,1.5,4,2,2,1,3,1.5,2,1,0,0,1,0.5,0,0
170 Tiah Haynes,FRE,1,0.3,0,0,1,0.3,0,0,0,0,2,0.7,5,1.7,1,0.3,2,0.7,1,0.3,0,0
174 Taylah Angel,FRE,7,1.8,4,1,3,0.8,2,0.5,5,1.3,2,0.5,14,3.5,0,0,0,0,3,0.8,0,0
174 Mai Nguyen,GWS,1,0.3,0,0,1,0.3,3,1,3,1,1,0.3,1,0.3,1,0.3,0,0,6,2,1,0.3
174 Isabella Ayre,CARL,0,0,0,0,0,0,0,0,0,0,3,0.5,4,0.7,3,0.5,0,0,1,0.2,4,0.7
174 Tahni Nestor,CARL,0,0,0,0,0,0,1,0.3,0,0,1,0.3,8,2.7,3,1,0,0,1,0.3,0,0
174 Kristy De Pellegrini,GWS,2,0.3,0,0,2,0.3,0,0,3,0.5,3,0.5,8,1.3,10,1.7,0,0,0,0,0,0
179 Meg McDonald,WB,1,0.3,0,0,1,0.3,0,0,1,0.3,0,0,3,0.8,2,0.5,0,0,2,0.5,1,0.3
179 Louise Stephenson,GWS,2,0.7,0,0,2,0.7,2,0.7,1,0.3,2,0.7,1,0.3,2,0.7,1,0.3,2,0.7,0,0
179 Jordan Membrey,BL,0,0,0,0,0,0,1,0.2,2,0.4,2,0.4,8,1.6,1,0.2,0,0,2,0.4,1,0.2
179 Selina Goodman,BL,1,0.1,1,0.1,0,0,2,0.3,2,0.3,2,0.3,10,1.3,3,0.4,0,0,2,0.3,0,0
183 Ruby Schleicher,COLL,4,0.8,1,0.2,3,0.6,1,0.2,2,0.4,3,0.6,14,2.8,3,0.6,0,0,2,0.4,0,0
184 Sarah Last,CARL,0,0,0,0,0,0,1,0.3,0,0,1,0.3,3,1,5,1.7,0,0,2,0.7,0,0
184 Stephanie Walker,GWS,0,0,0,0,0,0,0,0,3,1,3,1,4,1.3,1,0.3,1,0.3,5,1.7,1,0.3
186 Jordan Ivey,CARL,5,2.5,0,0,5,2.5,2,1,2,1,1,0.5,6,3,1,0.5,0,0,3,1.5,1,0.5
186 Kate Stanton,GWS,0,0,0,0,0,0,0,0,5,1.3,2,0.5,5,1.3,0,0,0,0,3,0.8,1,0.3
186 Tarnica Golisano,FRE,1,0.3,0,0,1,0.3,2,0.5,1,0.3,4,1,8,2,4,1,0,0,2,0.5,0,0
186 Alicia Janz,FRE,2,0.7,1,0.3,1,0.3,2,0.7,2,0.7,1,0.3,16,5.3,4,1.3,0,0,2,0.7,0,0
190 Sarah Jolly,MELB,4,1.3,0,0,4,1.3,0,0,1,0.3,1,0.3,9,3,0,0,0,0,3,1,1,0.3
190 Alexandra Saundry,GWS,0,0,0,0,0,0,1,0.3,1,0.3,5,1.3,4,1,3,0.8,0,0,0,0,0,0
192 Brianna Green,FRE,2,1,1,0.5,1,0.5,0,0,0,0,3,1.5,5,2.5,1,0.5,0,0,1,0.5,0,0
193 Hannah Wallett,GWS,1,0.3,0,0,1,0.3,1,0.3,1,0.3,2,0.5,8,2,2,0.5,0,0,1,0.3,1,0.3
194 Hayley Trevean,CARL,0,0,0,0,0,0,2,2,1,1,1,1,0,0,1,1,0,0,1,1,0,0
195 Georgia Walker,COLL,0,0,0,0,0,0,1,0.5,1,0.5,0,0,3,1.5,0,0,0,0,1,0.5,0,0
196 Lauren Morecroft,WB,0,0,0,0,0,0,2,1,1,0.5,0,0,2,1,4,2,0,0,0,0,0,0
196 Delissa Kimmince,BL,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,1,1,0,0
196 Kimberley Ebb,WB,0,0,0,0,0,0,1,0.3,1,0.3,2,0.5,5,1.3,2,0.5,0,0,0,0,0,0
199 Beatrice Devlyn,FRE,1,0.5,0,0,1,0.5,1,0.5,0,0,0,0,2,1,2,1,0,0,0,0,0,0
199 Kate Darby,CARL,1,0.5,0,0,1,0.5,2,1,0,0,0,0,1,0.5,1,0.5,0,0,1,0.5,0,0
01 Penny Cula-Reid,COLL,0,0,0,0,0,0,2,1,0,0,1,0.5,1,0.5,5,2.5,0,0,0,0,0,0
201 Shaleise Law,BL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3,0,0
201 Sophie Armitstead,ADEL,1,1,0,0,1,1,0,0,1,1,0,0,0,0,2,2,0,0,0,0,0,0
204 Hannah Dunn,GWS,1,1,0,0,1,1,1,1,0,0,3,3,4,4,0,0,0,0,0,0,0,0
204 Kate Deegan,BL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
204 Codie Briggs,GWS,1,0.3,0,0,1,0.3,0,0,0,0,1,0.3,6,2,0,0,0,0,0,0,0,0
204 Helen Roden,COLL,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0
204 Lou Wotton,COLL,2,0.7,1,0.3,1,0.3,2,0.7,0,0,1,0.3,5,1.7,3,1,0,0,0,0,0,0
209 Kim Mickle,FRE,0,0,0,0,0,0,0,0,2,2,1,1,2,2,0,0,0,0,2,2,0,0
209 Elise Strachan,MELB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
211 Isabella Rudolph,GWS,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
211 Romy Timmins,WB,1,0.5,0,0,1,0.5,1,0.5,0,0,0,0,2,1,0,0,0,0,1,0.5,0,0
211 Natalie Plane,CARL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214 Caitlin Collins,BL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214 Renee Forth,GWS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214 Lauren O'Shea,ADEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214 Kendra Heil,COLL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214 Kate Sheahan,COLL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214 Jess Hosking,CARL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214 Jasmine Anderson,ADEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214 Jade Ransfield,BL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214 Pepa Randall,MELB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214 Emily Bonser,FRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214 Kiara Bowers,FRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214 Taryn Priestly,FRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214 Stephanie De Bortoli,MELB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214 Lisa Steane,GWS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
