Player,Club,Behinds,Behinds,Goal assists,Goal assists,Goal acc %,Matches,Time On Ground %
,,TOT,AVG,TOT,AVG,TOT,TOT,TOT
93 Rhiannon Metcalfe,ADEL,1,0.1,0,0,0,8,66.3
95 Stacey Livingstone,COLL,0,0,1,0.1,0,7,84.8
95 Darcy Vescio,CARL,4,0.6,2,0.3,63.6,7,99.2
97 Kate McCarthy,BL,1,0.1,1,0.1,75,8,70.2
98 Katherine Gillespie-Jones,CARL,1,0.1,1,0.1,0,7,81.7
98 Alison Downie,CARL,0,0,0,0,66.7,7,78.6
100 Sally Riley,ADEL,0,0,1,0.1,75,8,66.4
Deanna Berry,MELB,5,0.7,2,0.3,45.5,7,65.6
102 Jaimee Lambert,WB,2,0.3,0,0,62.5,6,65.6
103 Gabriella Pound,CARL,0,0,2,0.3,50,7,74.1
103 Stacey Barr,FRE,7,1,0,0,23.1,7,67.6
105 Talia Radan,ADEL,0,0,0,0,0,8,74.5
106 Ellie Brush,GWS,1,0.2,2,0.3,33.3,6,88.4
107 Lauren Tesoriero,COLL,1,0.2,0,0,0,5,53.9
108 Lauren Brazzale,CARL,0,0,1,0.1,100,7,67.5
108 Katherine Smith,MELB,0,0,0,0,0,7,85
108 Emma Grant,COLL,0,0,0,0,100,7,71.4
111 Richelle Cranston,MELB,3,0.5,0,0,20,6,60.6
112 Nat Exon,CARL,3,0.6,1,0.2,0,5,66.2
113 Laura Bailey,WB,0,0,0,0,100,6,68.7
114 Jenna McCormick,ADEL,2,0.3,0,0,57.1,7,69.1
114 Tahlia Randall,BL,0,0,0,0,0,7,81.1
116 Christina Bernardi,COLL,3,0.5,2,0.3,28.6,6,76.1
117 Anne Hatchard,ADEL,0,0,0,0,0,7,67.1
118 Kirsten McLeod,WB,8,1.3,0,0,33.3,6,77.5
119 Phoebe McWilliams,GWS,1,0.1,0,0,77.8,7,82.3
120 Stephanie Cain,FRE,1,0.2,0,0,0,6,62.8
Cassie Davidson,FRE,0,0,0,0,0,7,78.4
121 Emma King,COLL,1,0.1,0,0,0,7,73
121 Tiarna Ernst,WB,0,0,1,0.1,0,7,69.2
121 Alyssa Mifsud,MELB,3,0.4,2,0.3,45,7,66
